SPDR Gold Shares (New York Stock Exchange Arca),
"The "SPDR" trademark is used under license from The McGraw-Hill Companies, Inc. ("McGraw-Hill"). No financial product offered by SPDR" Gold Trust, or its affiliates is sponsored, endorsed, sold or promoted by McGraw-Hill."
"Note: This document is for information purposes only and is subject to change without notice. No part of this document may be reproduced in any manner without the written permission of SPDR Gold Shares spdrgoldshares@ssga.com. Under no circumstances should it be used or considered as an offer to sell or a solicitation of any offer to buy the securities or other instruments mentioned in it"
"Note: SPDR Gold Shares does not represent that this information is accurate or complete and it should not be relied upon as such. SPDR Gold Shares is not responsible for any loss, damage, expense or claim, howsoever arising, suffered as a result of reliance on the data contained within this file."
"Note: On dates where the LBMA Gold Price is not published the most recently available LBMA Gold Price is used."
"*Note:  Since March 20, 2015, the Trust has been using the LBMA Gold Price PM as the price of gold in determining the value of the Trust's gold.  Before that date, the Trust used the London PM Fix, which was discontinued on March 19, 2015. All references to LBMA gold price have been provided for informational purposes only. ICE benchmark administration limited accepts no liability or responsibility for the accuracy of the prices or the underlying product to which the prices may be referenced."
Date, GLD Close, LBMA Gold Price, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
14-Jan-2005, 42.32, $422.50, 99.936000, 42.22296498, 42.282, $42.31, 0.054%, 1262300, 4588191.09, 142.71, 1938034092.76
17-Jan-2005, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
18-Jan-2005, 42.26, $421.75, 99.931500, 42.1461448, 42.266, $42.34, 0.162%, 666800, 4588191.09, 142.71, 1934508046.19
19-Jan-2005, 42.25, $424.95, 99.930700, 42.46555331, 42.260, $42.26, -0.011%, 1578900, 4588191.09, 142.71, 1949168896.71
20-Jan-2005, 42.74, $422.90, 99.929400, 42.26017096, 42.220, $42.25, 0.071%, 1276200, 4588191.09, 142.71, 1939741847.28
21-Jan-2005, 42.77, $423.30, 99.928400, 42.29969164, 42.699, $42.73, 0.060%, 889200, 4588191.09, 142.71, 1941555846.16
24-Jan-2005, 42.24, $427.35, 99.925400, 42.70312604, 42.698, $42.77, 0.156%, 2294900, 4788041.91, 148.92, 2045479733.12
25-Jan-2005, 42.69, $424.50, 99.924000, 42.4177776, 42.182, $42.23, 0.113%, 1332500, 4887966.00, 152.03, 2074229323.20
26-Jan-2005, 42.62, $425.80, 99.923100, 42.54725722, 42.642, $42.69, 0.100%, 541800, 4887966.00, 152.03, 2080560878.08
27-Jan-2005, 42.69, $424.50, 99.921900, 42.41684645, 42.586, $42.63, 0.091%, 571200, 4887966.00, 152.03, 2074183791.25
28-Jan-2005, 42.22, $426.80, 99.921000, 42.64628342, 42.646, $42.67, 0.056%, 1149100, 4887966.00, 152.03, 2085403259.08
31-Jan-2005, 42.10, $422.15, 99.917200, 42.18007987, 42.215, $42.24, 0.047%, 1688700, 4887966.00, 152.03, 2062605905.80
01-Feb-2005, 42.16, $420.90, 99.916000, 42.05468121, 42.074, $42.11, 0.073%, 1088900, 4886269.77, 151.98, 2056473996.17
02-Feb-2005, 41.68, $421.60, 99.915000, 42.12416791, 42.149, $42.18, 0.061%, 956500, 4886269.77, 151.98, 2059871810.82
03-Feb-2005, 41.47, $416.50, 99.913800, 41.6141009, 41.669, $41.70, 0.062%, 2446400, 4886269.77, 151.98, 2034929534.13
04-Feb-2005, 41.27, $415.90, 99.912700, 41.55369128, 41.433, $41.48, 0.101%, 1817600, 4886269.77, 151.98, 2031975503.80
07-Feb-2005, 41.26, $414.40, 99.909300, 41.40244122, 41.302, $41.30, -0.016%, 1754000, 4886269.77, 151.98, 2024579375.53
08-Feb-2005, 41.31, $411.10, 99.908100, 41.07224284, 41.227, $41.27, 0.092%, 1296800, 4986177.93, 155.09, 2049504919.39
09-Feb-2005, 41.75, $411.15, 99.907000, 41.07678888, 41.311, $41.30, -0.026%, 3477900, 4986177.93, 155.09, 2049731765.22
10-Feb-2005, 42.08, $415.50, 99.906100, 41.51100078, 41.745, $41.76, 0.035%, 7773800, 4986177.93, 155.09, 2071398938.73
11-Feb-2005, 42.55, $418.85, 99.905100, 41.8452856, 42.030, $42.06, 0.012%, 1896500, 4986177.93, 155.09, 2088079751.49
14-Feb-2005, 42.58, $424.20, 99.902100, 42.37849424, 42.533, $42.55, 0.028%, 2351800, 4986177.93, 155.09, 2114686862.65
15-Feb-2005, 42.52, $424.40, 99.901000, 42.39801428, 42.552, $42.57, 0.030%, 1559900, 4986177.93, 155.09, 2115660912.66
16-Feb-2005, 42.73, $424.40, 99.899900, 42.26765064, 42.452, $42.52, 0.159%, 1820300, 4986177.93, 155.09, 2109155767.06
17-Feb-2005, 42.73, $426.25, 99.898900, 42.58194271, 42.721, $42.73, 0.021%, 1820300, 4986177.93, 155.09, 2124838941.39
18-Feb-2005, 42.75, $427.10, 99.897900, 42.66641003, 42.676, $42.75, 0.161%, 863200, 4986177.93, 155.09, 2129053860.28
21-Feb-2005, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
22-Feb-2005, 43.42, $432.85, 99.893900, 43.23909298, 43.553, $43.58, 0.009%, 3314100, 5136018.84, 159.75, 2222489377.51
23-Feb-2005, 43.33, $432.60, 99.892800, 43.21363873, 43.408, $43.41, -0.006%, 1534900, 5076083.15, 157.88, 2195252847.86
24-Feb-2005, 43.33, $433.75, 99.891800, 43.32807524, 43.338, $43.35, 0.016%, 1219300, 5076083.15, 157.88, 2201066221.94
25-Feb-2005, 43.50, $434.25, 99.890700, 43.37756131, 43.452, $43.52, 0.144%, 1100100, 5076083.15, 157.88, 2203580114.42
28-Feb-2005, 43.52, $435.45, 99.887500, 43.49604137, 43.521, $43.54, 0.032%, 755300, 5076083.15, 157.88, 2209598901.77
01-Mar-2005, 43.22, $433.45, 99.886300, 43.2957211, 43.200, $43.23, 0.010%, 3245500, 5074620.61, 157.84, 2199422705.07
02-Mar-2005, 43.25, $431.75, 99.885100, 43.12542995, 43.240, $43.24, -0.011%, 1188000, 5074620.61, 157.84, 2190771841.31
03-Mar-2005, 42.97, $430.20, 99.884000, 42.97012317, 42.940, $42.99, 0.019%, 1914600, 5174504.67, 160.94, 2225852379.71
04-Mar-2005, 43.38, $433.45, 99.883000, 43.29430391, 43.364, $43.39, 0.059%, 865000, 5274387.71, 164.05, 2285939246.38
07-Mar-2005, 43.47, $433.00, 99.879700, 43.24792887, 43.412, $43.45, 0.075%, 1290100, 5274387.71, 164.05, 2283490644.58
08-Mar-2005, 44.03, $433.00, 99.878700, 43.67199853, 43.996, $44.04, 0.088%, 2674900, 5274387.71, 164.05, 2305881522.14
09-Mar-2005, 44.02, $439.50, 99.877700, 43.8962783, 44.006, $44.04, 0.065%, 3024800, 5274387.71, 164.05, 2317723494.50
10-Mar-2005, 44.20, $440.90, 99.876700, 43.96572208, 44.200, $44.19, -0.006%, 2064500, 5274387.71, 164.05, 2321390125.73
11-Mar-2005, 44.43, $443.70, 99.875700, 44.3148644, 44.549, $44.45, -0.233%, 2659300, 5274387.71, 164.05, 2339824840.52
14-Mar-2005, 44.03, $441.95, 99.872300, 44.13859542, 44.038, $44.04, -0.006%, 866600, 5274387.71, 164.05, 2330517838.26
15-Mar-2005, 44.06, $440.65, 99.871200, 44.00825132, 43.988, $44.06, 0.163%, 1254900, 5274387.71, 164.05, 2323635669.45
16-Mar-2005, 44.31, $443.00, 99.870200, 44.24251667, 44.307, $44.30, -0.005%, 2223300, 5274387.71, 164.05, 2336004880.24
17-Mar-2005, 43.82, $438.60, 99.868900, 43.80250433, 43.827, $43.84, 0.018%, 1525200, 5274387.71, 164.05, 2312772228.58
18-Mar-2005, 43.89, $437.15, 99.867700, 43.65718001, 43.871, $43.90, 0.054%, 1205500, 5274387.71, 164.05, 2305099104.76
21-Mar-2005, 43.09, $432.70, 99.864100, 43.2112226, 43.057, $43.08, 0.041%, 3814400, 5274387.71, 164.05, 2281552553.42
22-Mar-2005, 42.65, $432.15, 99.863000, 43.15580812, 42.646, $42.66, 0.021%, 2609300, 5274387.71, 164.05, 2278626668.66
23-Mar-2005, 42.42, $426.15, 99.861500, 42.66586138, 42.421, $42.40, -0.049%, 2618600, 5274387.71, 164.05, 2252757480.85
24-Mar-2005, 42.42, $425.15, 99.860300, 42.45561932, 42.430, $42.41, -0.047%, 1466300, 5274387.71, 164.05, 2241656700.29
25-Mar-2005, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
28-Mar-2005, 42.54, $425.15, 99.855900, 42.45375829, 42.545, $42.57, 0.046%, 2609300, 5274387.71, 164.05, 2241558437.51
29-Mar-2005, 42.56, $426.10, 99.854900, 42.54819102, 42.578, $42.56, -0.054%, 581100, 5274387.71, 164.05, 2246544485.90
30-Mar-2005, 42.61, $426.45, 99.853800, 42.58268715, 42.583, $42.60, 0.039%, 1197800, 5274387.71, 164.05, 2248365881.70
31-Mar-2005, 42.82, $427.50, 99.852800, 42.68710774, 42.787, $42.84, 0.112%, 1324300, 5274387.71, 164.05, 2253879288.47
01-Apr-2005, 42.62, $427.15, 99.851700, 42.65167752, 42.552, $42.61, 0.124%, 1363200, 5272503.84, 163.99, 2252006029.73
04-Apr-2005, 42.40, $423.90, 99.848200, 42.32569209, 42.380, $42.40, 0.035%, 1893100, 5272503.84, 163.99, 2234796542.29
05-Apr-2005, 42.45, $424.60, 99.847200, 42.3951281, 42.435, $42.44, 0.011%, 888000, 5372351.06, 167.10, 2280857893.22
06-Apr-2005, 42.63, $425.75, 99.846100, 42.50949876, 42.594, $42.62, 0.049%, 186900, 5362366.45, 166.79, 2282760083.69
07-Apr-2005, 42.57, $428.00, 99.845100, 42.7337106, 42.534, $42.57, 0.072%, 2852700, 5462211.57, 169.89, 2337533970.79
08-Apr-2005, 42.69, $425.20, 99.843900, 42.45364404, 42.633, $42.68, 0.110%, 1002100, 5562055.51, 173.00, 2364667972.49
11-Apr-2005, 42.78, $429.00, 99.840800, 42.83170216, 42.741, $42.80, 0.126%, 514100, 5562055.51, 173.00, 2385725810.12
12-Apr-2005, 42.84, $427.30, 99.839600, 42.6614771, 42.786, $42.83, 0.091%, 2098700, 5562055.51, 173.00, 2376244274.44
13-Apr-2005, 42.90, $427.50, 99.838500, 42.68098083, 42.850, $42.89, 0.081%, 384000, 5711813.33, 177.66, 2441352102.51
14-Apr-2005, 42.31, $423.45, 99.837200, 42.27609716, 42.335, $42.32, -0.035%, 3679800, 5711813.33, 177.66, 2418192757.49
15-Apr-2005, 42.40, $424.60, 99.836200, 42.39046801, 42.410, $42.41, -0.011%, 1810900, 5711813.33, 177.66, 2424734770.09
18-Apr-2005, 42.69, $425.75, 99.833000, 42.50390851, 42.668, $42.68, 0.016%, 909800, 5711813.33, 177.66, 2431223567.00
19-Apr-2005, 43.28, $427.45, 99.832000, 42.67319755, 43.277, $43.27, -0.027%, 1645400, 5711813.33, 177.66, 2440906899.71
20-Apr-2005, 43.40, $433.20, 99.831200, 43.24690064, 43.401, $43.41, 0.020%, 1248100, 5711813.33, 177.66, 2473722716.77
21-Apr-2005, 43.19, $434.00, 99.830200, 43.32631133, 43.151, $43.19, 0.078%, 1550600, 5711813.33, 177.66, 2478265008.06
22-Apr-2005, 43.39, $434.60, 99.829100, 43.38574999, 43.370, $43.40, 0.057%, 1149000, 5711813.33, 177.66, 2481664899.43
25-Apr-2005, 43.44, $432.90, 99.825700, 43.2145688, 43.389, $43.44, 0.105%, 905300, 5711813.33, 177.66, 2471873335.09
26-Apr-2005, 43.64, $437.00, 99.824900, 43.62350392, 43.638, $43.64, -0.006%, 1531400, 5751743.31, 178.90, 2512713825.35
27-Apr-2005, 43.20, $434.35, 99.823600, 43.35840861, 43.198, $43.19, -0.018%, 2762400, 5751743.31, 178.90, 2497444336.02
28-Apr-2005, 43.00, $432.50, 99.822400, 43.17320066, 43.043, $43.02, -0.065%, 2260300, 5751743.31, 178.90, 2486776358.26
29-Apr-2005, 43.35, $435.70, 99.821500, 43.49226533, 43.417, $43.36, -0.143%, 2260300, 5751743.31, 178.90, 2505154482.80
02-May-2005, 42.88, $435.70, 99.818300, 43.49083546, 42.901, $42.89, -0.037%, 1706700, 5751743.31, 178.90, 2505072122.45
03-May-2005, 42.76, $427.90, 99.816500, 42.71148548, 42.711, $42.78, 0.149%, 1268700, 5750026.91, 178.84, 2460181563.43
04-May-2005, 42.90, $428.80, 99.815400, 42.80086059, 42.885, $42.90, 0.023%, 607600, 5750026.91, 178.84, 2465329570.05
05-May-2005, 42.91, $429.15, 99.814300, 42.83533056, 42.945, $42.93, -0.046%, 319300, 5750026.91, 178.84, 2467315040.09
06-May-2005, 42.52, $425.15, 99.813100, 42.43555808, 42.525, $42.54, 0.0235%, 3722700, 5750026.91, 178.84, 2444288145.44
09-May-2005, 42.55, $425.50, 99.809800, 42.46910197, 42.548, $42.54, -0.030%, 600000, 5750026.91, 178.84, 2446220273.52
10-May-2005, 42.64, $427.40, 99.808800, 42.6583055, 42.608, $42.63, 0.039%, 461000, 5750026.91, 178.84, 2457118397.03
11-May-2005, 42.69, $426.10, 99.807700, 42.52806452, 42.637, $42.68, 0.089%, 764200, 5750026.91, 178.84, 2449616516.63
12-May-2005, 42.16, $424.25, 99.806500, 42.3429208, 42.153, $42.17, 0.040%, 1878700, 5750026.91, 178.84, 2438952238.31
13-May-2005, 41.95, $420.00, 99.805200, 41.91819728, 41.903, $41.95, 0.100%, 802600, 5750026.91, 178.84, 2414488163.50
16-May-2005, 41.88, $419.25, 99.801900, 41.84194984, 41.883, $41.87, -0.042%, 874500, 5750026.91, 178.84, 2410096311.03
17-May-2005, 41.86, $420.00, 99.800800, 41.91636062, 41.836, $41.85, 0.033%, 880800, 5750026.91, 178.84, 2414382371.94
18-May-2005, 42.05, $419.75, 99.799700, 41.89094483, 42.065, $42.06, -0.011%, 2207100, 5750026.91, 178.84, 2412918421.98
19-May-2005, 41.98, $420.80, 99.798700, 41.9953028, 41.980, $41.99, 0.011%, 610200, 5750026.91, 178.84, 2418929441.13
20-May-2005, 41.65, $418.00, 99.797400, 41.71533044, 41.665, $41.66, -0.012%, 932800, 5750026.91, 178.84, 2402803033.40
23-May-2005, 41.62, $418.00, 99.794100, 41.71395899, 41.654, $41.63, -0.069%, 5001300, 5710109.25, 177.60, 2386038454.42
24-May-2005, 41.73, $418.30, 99.793000, 41.74344965, 41.738, $41.74, 0.004%, 1683100, 5710109.25, 177.60, 2387725320.06
25-May-2005, 41.87, $418.40, 99.792000, 41.75297479, 41.877, $41.86, -0.040%, 1535100, 5710109.25, 177.60, 2388270157.87
26-May-2005, 41.69, $418.00, 99.790800, 41.71258682, 41.692, $41.70, 0.007%, 341500, 5710109.25, 177.60, 2385959966.38
27-May-2005, 41.69, $418.25, 99.789800, 41.7370862, 41.936, $41.89, -0.109%, 2453200, 5710109.25, 177.60, 2387361330.55
30-May-2005, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
31-May-2005, 41.65, $414.45, 99.785000, 41.35591789, 41.660, $41.66, 0.000%, 3198900, 5760001.78, 179.15, 2386236462.52
01-Jun-2005, 41.53, $415.35, 99.784000, 41.44530774, 41.440, $41.52, 0.180%, 1787900, 5758157.38, 179.10, 2391394348.99
02-Jun-2005, 42.10, $420.40, 99.783000, 41.94881314, 42.098, $42.11, 0.016%, 5752600, 5758157.38, 179.10, 2420446518.02
03-Jun-2005, 42.17, $423.55, 99.782000, 42.26270346, 42.162, $42.17, 0.007%, 3350700, 5758157.38, 179.10, 2438557989.54
06-Jun-2005, 42.48, $425.85, 99.778800, 42.49083944, 42.495, $42.49, -0.023%, 2470800, 5758157.38, 179.10, 2451721435.48
07-Jun-2005, 42.38, $424.10, 99.777700, 42.31573488, 42.385, $42.38, -0.011%, 611000, 5758157.38, 179.10, 2441617902.32
08-Jun-2005, 42.34, $424.55, 99.776600, 42.36017829, 42.315, $42.36, 0.094%, 690900, 5758157.38, 179.10, 2444182287.29
09-Jun-2005, 42.27, $422.50, 99.775400, 42.15513706, 42.279, $42.28, -0.009%, 692400, 5758157.38, 179.10, 2432351408.47
10-Jun-2005, 42.62, $422.55, 99.774300, 42.15966477, 42.613, $42.62, 0.016%, 1678000, 5758157.38, 179.10, 2432612657.27
13-Jun-2005, 42.78, $429.10, 99.771400, 42.8119272, 42.796, $42.79, -0.025%, 2331600, 5758157.38, 179.10, 2470248199.34
14-Jun-2005, 42.60, $426.85, 99.770200, 42.58692229, 42.596, $42.60, 0.009%, 825300, 5758157.38, 179.10, 2457265416.01
15-Jun-2005, 42.74, $428.70, 99.769200, 42.77107386, 42.731, $42.75, 0.032%, 2311400, 5758157.38, 179.10, 2467890961.48
16-Jun-2005, 43.46, $433.00, 99.768400, 43.19971788, 43.464, $43.47, 0.013%, 1804700, 5758157.38, 179.10, 2492623721.48
17-Jun-2005, 43.63, $437.50, 99.767500, 43.64831593, 43.663, $43.65, -0.041%, 1816500, 5758157.38, 179.10, 2518507829.30
20-Jun-2005, 43.66, $439.35, 99.764400, 43.83149921, 43.671, $43.67, -0.013%, 1433700, 5758157.38, 179.10, 2529077504.35
21-Jun-2005, 43.81, $435.20, 99.763000, 43.41687517, 43.771, $43.79, 0.031%, 672600, 5758157.38, 179.10, 2505153697.20
22-Jun-2005, 43.72, $437.00, 99.762000, 43.59602796, 43.735, $43.74, 0.011%, 1258500, 5758157.38, 179.10, 2515490813.16
23-Jun-2005, 44.02, $439.15, 99.761100, 43.81010657, 44.039, $44.02, -0.043%, 1565600, 5658396.24, 175.99, 2484033044.20
24-Jun-2005, 43.90, $440.55, 99.760100, 43.94933845, 43.889, $43.91, 0.036%, 473200, 5658396.24, 175.99, 2491927489.84
27-Jun-2005, 43.91, $439.30, 99.756700, 43.82315073, 43.907, $43.89, -0.038%, 1061500, 5638444.88, 175.37, 2476008016.76
28-Jun-2005, 43.45, $437.00, 99.755400, 43.59314339, 43.428, $43.45, 0.039%, 1289600, 5638444.88, 175.37, 2463012601.32
29-Jun-2005, 43.63, $435.80, 99.754200, 43.47291238, 43.607, $43.62, 0.018%, 1199800, 5638444.88, 175.37, 2456219549.69
30-Jun-2005, 43.44, $437.10, 99.753300, 43.60216868, 43.437, $43.44, -0.004%, 987500, 5638444.88, 175.37, 2463522530.24
01-Jul-2005, 43.44, $432.60, 99.751700, 43.15261609, 42.868, $42.72, -0.358%, 1755100, 5636319.23, 175.31, 2438122921.71
04-Jul-2005, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
05-Jul-2005, 42.28, $423.75, 99.747200, 42.26788465, 42.252, $42.29, 0.078%, 2582300, 5636319.23, 175.31, 2388135482.84
06-Jul-2005, 42.25, $423.50, 99.746100, 42.24248225, 42.217, $42.25, 0.066%, 1254600, 5636319.23, 175.31, 2386700247.12
07-Jul-2005, 42.36, $425.20, 99.745000, 42.41160583, 42.232, $42.37, 0.313%, 4345200, 5736064.30, 178.41, 2438667332.96
08-Jul-2005, 42.26, $424.40, 99.743900, 42.33133577, 42.196, $42.26, 0.151%, 824200, 5736064.30, 178.41, 2434051806.69
11-Jul-2005, 42.54, $424.20, 99.740600, 42.30999276, 42.499, $42.53, 0.072%, 824200, 5736064.30, 178.41, 2432824583.66
12-Jul-2005, 42.64, $426.25, 99.739600, 42.51403001, 42.603, $42.64, 0.075%, 1274100, 5736064.30, 178.41, 2444556725.51
